ncm_code;item_no;question_text;expected_answer;source_diagnos_pdf;source_facit_pdf;answer_source;extraction_confidence;ncm_domain_tag;operation_tag;ability_tags
RP5;1;Ett par jeans kostar 720 kr. Man får 15 % rabatt. Hur mycket får man då betala?;612;RP5%20diagnos.pdf;RP5%20facit.pdf;facit_numeric_text;high;rational_numbers;mixed;ncm_rational_numbers|concept_percent
RP5;2;Lisas månadslön är 25 000 kr. När skatten är dragen har Lisa 21 000 kr kvar. Hur många procent av lönen betalar hon i skatt?;16;RP5%20diagnos.pdf;RP5%20facit.pdf;facit_numeric_text;high;rational_numbers;mixed;ncm_rational_numbers|concept_percent
RP5;3;En dator kostar 8 400 kr utan moms. Man får också betala 25 % moms. Hur mycket kostar datorn när momsen är inräknad?;10500;RP5%20diagnos.pdf;RP5%20facit.pdf;facit_numeric_text;high;rational_numbers;mixed;ncm_rational_numbers|concept_percent
RP5;4;Priset på en skjorta som tidigare kostat 400 kr höjs med 15 %. På det priset får Erik 15 % rabatt. Hur mycket får Erik betala?;391;RP5%20diagnos.pdf;RP5%20facit.pdf;facit_numeric_text;high;rational_numbers;mixed;ncm_rational_numbers|concept_percent
RP5;5;Vid en rea har man sänkt alla priser med 20 %. Stina har där handlat kläder för 720 kr. Hur mycket skulle hon fått betala om det inte varit rea?;900;RP5%20diagnos.pdf;RP5%20facit.pdf;facit_numeric_text;high;rational_numbers;mixed;ncm_rational_numbers|concept_percent
SA2;1;Hur många olika danspar (flicka-pojke) kan man bilda av 4 pojkar och 6 flickor?;24;SA2%20diagnos.pdf;SA2%20facit.pdf;facit_numeric_text;high;statistics_probability;mixed;ncm_statistics_probability
SA2;2;Hur många tvåsiﬀriga tal kan man skriva med siﬀrorna 1, 2, 3, 4, 5, 6, 7, 8, 9 om talet inte får innehålla två likadana siﬀror?;72;SA2%20diagnos.pdf;SA2%20facit.pdf;facit_numeric_text;high;statistics_probability;mixed;ncm_statistics_probability
SA2;3;I skolan skall man spela teater. Bland 7 kandidater skall man först välja ut en som spelar Nalle Puh, därefter en som spelar Nasse och slutligen en som spelar Ior. På hur många olika sätt kan det ske?;210;SA2%20diagnos.pdf;SA2%20facit.pdf;facit_numeric_text;high;statistics_probability;mixed;ncm_statistics_probability
SA2;4;6 personer ska skaka hand med varandra. Hur många handskakningar blir det?;15;SA2%20diagnos.pdf;SA2%20facit.pdf;facit_numeric_text;high;statistics_probability;mixed;ncm_statistics_probability
SA2;5;Hur många diagonaler kan man dra i en sexhörning?;9;SA2%20diagnos.pdf;SA2%20facit.pdf;facit_numeric_text;high;statistics_probability;mixed;ncm_statistics_probability
SA2;6;I ett mörkt rum ligger det 4 blå och 6 svarta strumpor. Hur många strumpor måste du ta med dig för att vara säker på att få ett par med samma färg?;3;SA2%20diagnos.pdf;SA2%20facit.pdf;facit_numeric_text;high;statistics_probability;mixed;ncm_statistics_probability
