ncm_code;item_no;question_text;expected_answer;source_diagnos_pdf;source_facit_pdf;answer_source;extraction_confidence;ncm_domain_tag;operation_tag;ability_tags
AS3;1;Lina köper en anteckningsbok för 48 kr och en penna för 24 kr. Hur mycket får hon betala?;72;AS3%20diagnos.pdf;AS3%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_addition|op_subtraction
AS3;2;Morfar är 63 år och mamma är 37 år. Hur mycket äldre är morfar än mamma?;26;AS3%20diagnos.pdf;AS3%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_addition|op_subtraction
AS3;3;Nicolas hoppar 528 cm i längdhopp. Hans lilla syster Stina hoppar 376 cm. Hur mycket längre hoppar Nicolas än Stina?;152;AS3%20diagnos.pdf;AS3%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_addition|op_subtraction
AS3;4;Erik har 325 svenska frimärken och 247 utländska frimären. Hur många frimärken har han sammanlagt?;572;AS3%20diagnos.pdf;AS3%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_addition|op_subtraction
AS3;5;Marco köper ett par byxor för 346 kr och en skjorta för 179 kr. Hur mycket kostar det tillsammans?;525;AS3%20diagnos.pdf;AS3%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_addition|op_subtraction
AS3;6;Malin sparar till en cykel som kostar 525 kr. Hon har nu 378 kr. Hur mycket pengar fattas för att hon ska kunna köpa cykeln?;147;AS3%20diagnos.pdf;AS3%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_addition|op_subtraction
AS3;7;Ett band är 304 cm långt. Du klipper av 138 cm. Hur mycket är det då kvar av bandet?;166;AS3%20diagnos.pdf;AS3%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_addition|op_subtraction
AS6;1;Ola kan cykla 21 km på en timma. Hur långt kan Ola då cykla på tre timmar?;63;AS6%20diagnos.pdf;AS6%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_multiplication|op_division
AS6;2;Asha, Claudia och Lisa har tillsammans 69 kulor. Hur många kulor har Asha om alla har lika många kulor?;23;AS6%20diagnos.pdf;AS6%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_multiplication|op_division
AS6;3;I en skola finns 7 klasser med lika många elever i varje. På skolan finns det sammanlagt 154 elever. Hur många elever finns det i varje klass?;22;AS6%20diagnos.pdf;AS6%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_multiplication|op_division
AS6;4;En resa till X-köping kostar 128 kr. Hur mycket kostar det om 7 personer ska resa till X-köping?;896;AS6%20diagnos.pdf;AS6%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_multiplication|op_division
AS6;5;När Lisa hade delat ut reklam fick hon 432 kr. Hon hade då arbetat i 6 timmar. Hur mycket tjänade hon i timman?;72;AS6%20diagnos.pdf;AS6%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_multiplication|op_division
AS6;6;En tröja kostar 379 kr. Hur mycket kostar 6 sådana tröjor?;2274;AS6%20diagnos.pdf;AS6%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_multiplication|op_division
AS6;7;Kim har fått en bok som innehåller 405 sidor. Han tänker läsa nio sidor varje dag. Hur lång tid tar det då att läsa ut boken?;45;AS6%20diagnos.pdf;AS6%20facit.pdf;facit_numeric_text;high;arithmetic;mixed;ncm_arithmetic|ncm_word_problem|op_multiplication|op_division
